     1     2     1    82
  -83.8300 -180.0000  -84.3300 -178.0000  -84.5000 -174.0000  -84.6700 -170.0000
  -84.9200 -166.0000  -85.4200 -163.0000  -85.4200 -158.0000  -85.5800 -152.0000
  -85.3300 -146.0000  -84.8300 -147.0000  -84.5000 -151.0000  -84.0000 -153.5000
  -83.5000 -153.0000  -83.0000 -154.0000  -82.5000 -154.0000  -82.0000 -154.0000
  -81.5000 -154.5000  -81.1700 -153.0000  -81.0000 -150.0000  -80.9200 -146.5000
  -80.6700 -145.5000  -80.3300 -148.0000  -80.0000 -150.0000  -79.6700 -152.5000
  -79.2500 -155.0000  -78.8300 -157.0000  -78.5000 -158.0000  -78.4200 -156.6700
  -78.5000 -154.5000  -78.1700 -154.5000  -78.0800 -156.6700  -77.8300 -158.0000
  -77.5000 -158.3300  -77.1700 -158.6700  -77.0000 -157.0000  -77.1700 -154.0000
  -77.5800 -153.0000  -77.8300 -150.5000  -77.6700 -148.0000  -77.2500 -146.0000
  -76.7500 -146.0000  -76.3300 -146.3300  -75.9200 -146.6700  -75.8300 -144.0000
  -75.5800 -142.0000  -75.7500 -140.6700  -75.4200 -140.0000  -75.2500 -138.3300
  -75.0000 -136.6700  -74.7500 -135.5000  -74.7500 -133.0000  -75.0000 -132.0000
  -75.4200 -130.8300  -75.7500 -129.6700  -76.0000 -128.0000  -76.0000 -127.0000
  -75.6700 -126.8300  -75.1700 -126.3300  -74.6700 -125.5000  -74.3300 -124.5000
  -73.8300 -123.3300  -73.2500 -123.6700  -73.2500 -122.3300  -73.7500 -121.3300
  -74.0000 -120.0000  -73.5800 -120.0000  -73.6700 -118.3300  -73.6700 -116.6700
  -73.8300 -116.3300  -74.1700 -117.6700  -74.6700 -117.6700  -75.1700 -116.3300
  -75.2500 -113.6700  -75.0000 -112.3300  -74.5000 -112.5000  -74.0000 -112.6700
  -73.6700 -112.0000  -74.0000 -111.5000  -74.5000 -111.0000  -75.0000 -110.3300
  -75.1700 -108.6700  -74.6700 -108.5000
     2     2    36     6
  -74.6700 -108.5000  -74.5000 -109.5000  -74.0000 -109.5000  -74.0000 -108.3300
  -74.3300 -108.0000  -74.6700 -108.5000
     3     2     1   100
  -74.6700 -108.5000  -75.0800 -107.5000  -75.0800 -106.0000  -74.9200 -104.5000
  -74.5800 -104.5000  -74.5800 -102.6700  -74.7500 -101.3300  -75.0000 -100.0000
  -74.7500  -99.5000  -74.3300 -101.3300  -74.0000 -100.6700  -73.7500 -101.5000
  -73.5000 -101.5000  -73.5800 -100.0000  -73.4200  -99.0000  -73.0800 -100.0000
  -73.2500 -101.3300  -72.7500 -102.5000  -72.6700 -101.3300  -73.0000 -101.5000
  -72.9200  -99.6700  -73.3300  -98.5000  -73.0800  -98.0000  -73.4200  -97.5000
  -73.7500  -97.5000  -73.7500  -96.3300  -73.4200  -96.0000  -73.0800  -96.0000
  -72.9200  -97.5000  -72.5000  -98.5000  -72.1700  -99.6700  -71.9200 -101.0000
  -71.7500  -99.8300  -72.0000  -98.3300  -71.8300  -97.0000  -72.0800  -95.6700
  -72.4200  -95.6700  -72.5800  -94.0000  -72.7500  -92.2500  -72.9200  -90.5000
  -72.9200  -88.7500  -72.9200  -87.0000  -73.0800  -85.5000  -72.9200  -84.3300
  -72.8300  -83.0000  -72.9200  -81.2500  -73.0000  -79.5000  -73.2500  -78.5000
  -72.8300  -78.6700  -72.4200  -78.0000  -72.5800  -76.5000  -72.8300  -75.0000
  -73.0000  -74.0000  -73.5000  -74.5000  -73.4200  -73.0000  -73.3300  -71.5000
  -73.1700  -70.0000  -73.0800  -68.5000  -72.8300  -67.5000  -72.3300  -67.0000
  -71.8300  -67.0000  -71.5000  -67.5000  -70.9200  -67.5000  -70.4200  -68.0000
  -70.0000  -68.5000  -69.4200  -68.5000  -69.4200  -67.3300  -69.0800  -66.6700
  -68.8300  -67.3300  -68.5000  -66.8300  -68.0800  -66.8300  -67.7500  -67.5000
  -67.4200  -67.5000  -67.7500  -68.5000  -67.7500  -69.2500  -67.3300  -69.3300
  -66.9200  -68.6700  -66.6700  -67.8300  -67.0800  -67.6700  -67.0000  -67.0000
  -67.3300  -66.3300  -66.8300  -66.3300  -66.5800  -65.5000  -66.2500  -65.8300
  -65.9200  -65.0000  -65.5000  -64.0000  -65.0800  -64.0000  -65.1700  -63.0000
  -64.7500  -62.6700  -64.6700  -61.6700  -64.2500  -61.5000  -64.0000  -61.0000
  -63.8300  -59.6700  -63.5800  -58.8300  -63.3300  -58.0000  -63.2500  -57.1700
  -63.5800  -56.6700  -63.5800  -57.3300  -63.8300  -58.1700  -63.8300  -57.2500
     4     2     1   100
  -63.8300  -57.2500  -64.4200  -57.3300  -64.3300  -58.1700  -64.0000  -58.6700
  -64.5000  -59.0000  -64.3300  -59.6700  -64.6700  -60.5000  -65.0000  -61.3300
  -65.4200  -62.0000  -65.7500  -62.1700  -66.0800  -62.3300  -66.5000  -62.6700
  -66.2500  -63.5000  -66.5000  -64.0000  -66.9200  -63.6700  -66.9200  -64.6700
  -67.3300  -65.3300  -67.8300  -65.5000  -68.0800  -64.8300  -68.3300  -65.3300
  -68.7500  -64.8300  -68.7500  -63.6700  -69.0800  -62.6700  -69.6700  -62.3300
  -70.1700  -62.0000  -70.5800  -61.5000  -70.9200  -61.6700  -71.1700  -61.0000
  -71.5800  -60.8300  -72.0000  -61.6700  -72.3300  -60.8300  -72.6700  -61.0000
  -73.0000  -59.8300  -73.3300  -60.1700  -73.4200  -61.5000  -73.7500  -61.0000
